gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,score_mean,score_max,score_min,score_std,total_assessments,is_banked_mean,reg_mean,reg_min,unreg_count,clicks_total,vle_mean,vle_max,vle_min,vle_activity_range,engagement_score
M,South Region,A Level or Equivalent,40-50%,0-35,0,150,Y,Withdrawn,51.833333333333336,86.0,22.0,23.447103588005632,6.0,0.0,-115.0,-115.0,1,131.0,40.01526717557252,119.0,-12.0,131.0,6790.166666666667
M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Fail,92.33333333333333,96.0,89.0,3.5118845842842448,3.0,0.0,-71.0,-71.0,0,263.0,42.106463878327,126.0,-14.0,140.0,24283.666666666664
F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,30,Y,Pass,77.22222222222223,100.0,40.0,21.953233120532484,9.0,0.0,-56.0,-56.0,0,96.0,112.36458333333333,225.0,-16.0,241.0,7413.333333333334
M,South East Region,A Level or Equivalent,40-50%,0-35,0,90,N,Fail,72.5,100.0,54.0,20.550750189064473,4.0,0.0,-16.0,-16.0,0,212.0,34.65094339622642,132.0,-3.0,135.0,15370.0
F,London Region,Lower Than A Level,20-30%,35-55,0,120,N,Pass,73.4,97.0,1.0,40.722229801424184,5.0,0.0,-17.0,-17.0,0,282.0,88.01063829787235,254.0,-5.0,259.0,20698.800000000003
M,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-78.0,0,195.0,2.712820512820513,47.0,-18.0,65.0,0.0
M,Ireland,HE Qualification,70-80%,35-55,0,90,N,Distinction,93.41666666666667,100.0,86.0,4.461111425588377,12.0,0.0,-25.0,-25.0,0,1635.0,102.24954128440368,266.0,-18.0,284.0,152736.25
F,North Region,Lower Than A Level,50-60%,35-55,1,60,N,Pass,71.25,100.0,1.0,29.778947501308945,8.0,0.0,-193.0,-269.0,1,920.0,78.07173913043478,241.0,-9.0,250.0,65550.0
M,South West Region,HE Qualification,60-70%,0-35,0,60,N,Pass,90.84615384615384,100.0,76.0,6.668909879010138,13.0,0.0,-14.0,-14.0,0,573.0,72.5043630017452,230.0,-2.0,232.0,52054.84615384615
F,East Anglian Region,Lower Than A Level,50-60%,35-55,0,30,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,-65.0,0,0.0,0.0,0.0,0.0,0.0,0.0
F,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Fail,68.54545454545455,100.0,40.0,19.164360862620157,11.0,0.0,-74.0,-74.0,0,329.0,75.44680851063829,234.0,-8.0,242.0,22551.454545454544
M,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,77.41666666666667,86.0,68.0,5.264949854433276,12.0,0.0,-35.0,-35.0,0,718.0,117.36908077994428,242.0,-5.0,247.0,55585.16666666667
M,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,67.55555555555556,95.0,54.0,13.648361725048826,9.0,0.0,-78.0,-78.0,0,597.0,101.12395309882747,237.0,-18.0,255.0,40330.666666666664
M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,53.0,81.0,10.0,31.44307024873154,4.0,0.0,-32.0,-32.0,0,183.0,68.09289617486338,235.0,-10.0,245.0,9699.0
M,North Region,Lower Than A Level,0,35-55,2,270,N,Withdrawn,75.6,94.0,53.0,18.528356645962965,5.0,0.0,-24.5,-28.0,2,564.0,63.858156028368796,175.0,-16.0,191.0,42638.399999999994
M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,Y,Pass,70.42857142857143,91.0,44.0,16.277357922967138,7.0,0.0,-27.0,-27.0,0,599.0,104.32554257095158,240.0,-13.0,253.0,42186.71428571429
F,Yorkshire Region,No Formal quals,30-40%,0-35,0,30,N,Pass,77.33333333333333,100.0,55.0,15.58043645088288,9.0,0.0,-56.0,-56.0,0,211.0,142.3222748815166,261.0,0.0,261.0,16317.333333333332
M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,-29.0,1,53.0,-4.339622641509434,120.0,-18.0,138.0,0.0
M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,54.125,90.0,17.0,17.149829931129545,16.0,0.0,-103.5,-107.0,0,627.0,96.4274322169059,259.0,-22.0,281.0,33936.375
M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,72.5,73.0,72.0,0.7071067811865476,2.0,0.0,-58.0,-58.0,0,112.0,33.36607142857143,119.0,9.0,110.0,8120.0
M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,93.14285714285714,98.0,88.0,3.3380918415851215,7.0,0.0,-23.0,-23.0,0,526.0,68.18441064638783,240.0,-18.0,258.0,48993.142857142855
M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,78.85714285714286,93.0,67.0,10.106574946185143,7.0,0.0,-70.0,-70.0,0,902.0,88.11862527716187,241.0,-18.0,259.0,71129.14285714286
M,South Region,Lower Than A Level,20-30%,0-35,0,60,N,Distinction,90.63636363636364,100.0,75.0,9.942562318363684,11.0,0.0,-27.0,-27.0,0,208.0,70.59615384615384,227.0,-9.0,236.0,18852.363636363636
M,Wales,Lower Than A Level,60-70%,0-35,0,60,N,Pass,82.85714285714286,98.0,47.0,17.286107827082525,7.0,0.0,-87.0,-87.0,0,824.0,121.50849514563107,262.0,-25.0,287.0,68274.28571428572
M,North Region,Lower Than A Level,0,0-35,0,90,N,Pass,55.0,65.0,41.0,12.489995996796797,3.0,0.0,-162.0,-162.0,0,315.0,112.66984126984127,260.0,-11.0,271.0,17325.0
F,London Region,Lower Than A Level,20-30%,35-55,0,240,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,-122.0,2,0.0,0.0,0.0,0.0,0.0,0.0
M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,180,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,1,9.0,-4.555555555555555,-2.0,-16.0,14.0,0.0
M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,82.9090909090909,98.0,49.0,10.478590830873479,22.0,0.0,-200.0,-304.0,0,437.0,89.33180778032036,207.0,-16.0,223.0,36231.27272727273
F,South Region,A Level or Equivalent,30-40%,35-55,2,60,N,Fail,82.5,100.0,65.0,24.748737341529164,2.0,0.0,-167.0,-167.0,0,111.0,10.396396396396396,33.0,-10.0,43.0,9157.5
F,North Western Region,A Level or Equivalent,10-20,35-55,2,120,Y,Withdrawn,0.0,0.0,0.0,0.0,2.0,0.0,-117.0,-117.0,1,16.0,6.0,9.0,5.0,4.0,0.0
M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,90,N,Fail,61.0,61.0,61.0,0.0,1.0,0.0,-53.0,-53.0,0,185.0,47.16216216216216,208.0,-18.0,226.0,11285.0
F,South East Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,71.81818181818181,100.0,25.0,21.46540557184132,11.0,0.0,-164.0,-164.0,0,412.0,133.46601941747574,246.0,-10.0,256.0,29589.090909090908
F,West Midlands Region,Lower Than A Level,20-30%,0-35,1,120,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0,1.0,5.0,5.0,5.0,0.0,0.0
F,South East Region,Lower Than A Level,50-60%,35-55,0,30,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,0,21.0,8.857142857142858,25.0,2.0,23.0,0.0
F,North Western Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn,61.857142857142854,69.0,47.0,10.188695883650851,7.0,0.5714285714285714,-39.0,-39.0,1,276.0,38.57971014492754,130.0,-25.0,155.0,17072.571428571428
F,Scotland,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,80.6875,94.0,57.0,10.637786423875975,16.0,0.0,-55.0,-58.0,1,1301.0,104.23750960799386,240.0,-17.0,257.0,104974.4375
M,Wales,Lower Than A Level,10-20,0-35,0,90,N,Pass,58.333333333333336,84.0,0.0,30.177254127350068,6.0,0.0,-99.5,-140.0,1,498.0,58.7710843373494,233.0,-18.0,251.0,29050.0
F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,210,N,Withdrawn,37.5,75.0,0.0,53.033008588991066,2.0,0.0,-145.5,-149.0,2,79.0,11.316455696202532,33.0,-12.0,45.0,2962.5
M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,120,N,Pass,91.38095238095238,100.0,70.0,7.200529081089739,21.0,0.0,-28.0,-32.0,0,1811.0,95.62672556598564,256.0,-18.0,274.0,165490.90476190476
M,South Region,Lower Than A Level,50-60%,35-55,0,120,Y,Withdrawn,76.2,95.0,48.0,15.520493364764997,15.0,0.0,-45.0,-81.0,1,1038.0,85.99036608863199,261.0,-18.0,279.0,79095.6
M,Wales,A Level or Equivalent,0-10%,0-35,0,30,N,Fail,46.333333333333336,60.0,31.0,14.571661996262929,3.0,0.0,-104.0,-104.0,0,135.0,66.15555555555555,161.0,0.0,161.0,6255.0
M,Scotland,A Level or Equivalent,60-70%,0-35,1,120,N,Fail,69.5,97.0,47.0,15.702593052468393,8.0,0.0,-10.0,-10.0,0,266.0,55.8421052631579,221.0,-6.0,227.0,18487.0
M,North Western Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,81.33333333333333,93.0,30.0,17.206411771796176,12.0,0.0,-28.0,-28.0,0,643.0,85.94556765163297,246.0,-18.0,264.0,52297.33333333333
F,North Western Region,A Level or Equivalent,70-80%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,-88.0,1,0.0,0.0,0.0,0.0,0.0,0.0
F,Wales,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-165.0,-165.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,73.91666666666667,98.0,54.0,14.067747337492062,12.0,0.0,-156.0,-156.0,0,400.0,82.59,234.0,-16.0,250.0,29566.666666666668
M,North Western Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-150.0,0,21.0,-3.142857142857143,12.0,-16.0,28.0,0.0
M,East Anglian Region,HE Qualification,60-70%,0-35,0,60,N,Pass,75.71428571428571,87.0,53.0,12.432675841162615,7.0,0.0,-157.0,-157.0,0,1272.0,115.23034591194968,257.0,-25.0,282.0,96308.57142857142
M,North Western Region,A Level or Equivalent,60-70%,0-35,0,90,N,Pass,75.08333333333333,88.0,56.0,8.959082068780903,12.0,0.0,-89.0,-89.0,0,876.0,102.9337899543379,268.0,-18.0,286.0,65773.0
M,North Western Region,A Level or Equivalent,40-50%,35-55,0,60,N,Distinction,90.91666666666667,99.0,83.0,4.660439568291484,12.0,0.0,-113.0,-113.0,0,620.0,94.78870967741935,260.0,-18.0,278.0,56368.333333333336
M,South West Region,A Level or Equivalent,50-60%,35-55,0,110,N,Pass,69.0,92.0,53.0,14.637281168304447,9.0,0.0,-38.0,-38.0,0,626.0,104.61661341853035,261.0,-18.0,279.0,43194.0
F,London Region,A Level or Equivalent,50-60%,0-35,0,30,N,Distinction,95.0,100.0,80.0,7.905694150420948,9.0,0.0,-59.0,-59.0,0,166.0,130.48192771084337,233.0,-15.0,248.0,15770.0
F,West Midlands Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass,86.33333333333333,100.0,60.0,14.33527118683145,9.0,0.0,-28.0,-28.0,0,172.0,105.51744186046511,220.0,0.0,220.0,14849.333333333332
M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-22.0,1,0.0,0.0,0.0,0.0,0.0,0.0
F,South Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,79.9090909090909,100.0,62.0,13.823563545298622,11.0,0.0,-44.0,-44.0,0,837.0,143.28912783751494,264.0,-6.0,270.0,66883.90909090909
M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,84.75,98.0,60.0,16.91892431568863,4.0,0.0,-115.5,-175.0,0,401.0,51.204488778054866,229.0,-17.0,246.0,33984.75
M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,42.55555555555556,58.0,25.0,11.673807338558307,9.0,0.0,-50.0,-50.0,0,151.0,62.70860927152318,149.0,-6.0,155.0,6425.888888888889
M,Wales,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,60.2,81.0,40.0,17.21046193453273,5.0,0.0,-52.0,-52.0,0,584.0,26.94691780821918,99.0,-18.0,117.0,35156.8
M,South East Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,91.83333333333333,97.0,82.0,3.7618499639825003,12.0,0.0,-124.0,-124.0,0,1898.0,106.97523709167545,268.0,-18.0,286.0,174299.66666666666
M,Yorkshire Region,HE Qualification,0-10%,35-55,0,150,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-172.0,-172.0,1,32.0,-10.96875,-5.0,-14.0,9.0,0.0
F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Distinction,80.91666666666667,90.0,66.0,8.106768589869649,12.0,0.0,-74.0,-74.0,0,1288.0,121.66537267080746,261.0,-12.0,273.0,104220.66666666667
F,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,56.333333333333336,71.0,26.0,16.243973241379916,6.0,0.0,-22.0,-22.0,0,345.0,92.60579710144927,229.0,-12.0,241.0,19435.0
F,London Region,Lower Than A Level,20-30%,0-35,0,30,N,Distinction,89.23809523809524,100.0,66.0,8.437444885181543,21.0,0.0,-26.0,-27.0,0,1206.0,128.21641791044777,240.0,-15.0,255.0,107621.14285714286
M,South West Region,HE Qualification,80-90%,0-35,0,90,N,Withdrawn,79.41666666666667,91.0,65.0,8.69125300447978,12.0,0.0,-48.0,-51.0,1,614.0,81.48859934853421,241.0,-18.0,259.0,48761.833333333336
F,Scotland,HE Qualification,70-80%,0-35,0,120,N,Fail,81.125,100.0,65.0,16.25192296314501,8.0,0.0,-30.0,-30.0,0,198.0,71.9090909090909,241.0,-10.0,251.0,16062.75
F,South West Region,A Level or Equivalent,40-50%,0-35,1,110,Y,Pass,56.285714285714285,66.0,40.0,8.097618697581936,7.0,0.0,4.0,4.0,0,116.0,130.5344827586207,239.0,30.0,209.0,6529.142857142857
F,East Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,46.6,72.0,1.0,27.134848442547085,5.0,0.0,-39.0,-39.0,0,104.0,72.88461538461539,235.0,0.0,235.0,4846.400000000001
M,South West Region,Lower Than A Level,50-60%,0-35,0,90,N,Withdrawn,37.5,44.0,31.0,9.192388155425117,2.0,0.0,-131.0,-131.0,1,48.0,26.416666666666668,66.0,-13.0,79.0,1800.0
M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,87.0,100.0,75.0,7.3143694191638975,13.0,0.0,-132.5,-185.0,0,889.0,119.77390326209223,266.0,-18.0,284.0,77343.0
F,South Region,A Level or Equivalent,10-20,35-55,1,60,N,Fail,36.5,72.0,1.0,50.204581464244875,2.0,0.0,-45.0,-45.0,0,65.0,23.861538461538462,111.0,-4.0,115.0,2372.5
M,South West Region,Lower Than A Level,30-40%,0-35,0,90,Y,Withdrawn,66.54545454545455,89.0,53.0,12.077778242405648,11.0,0.2727272727272727,-23.5,-24.0,1,552.0,54.18840579710145,170.0,-15.0,185.0,36733.09090909091
F,South East Region,HE Qualification,20-30%,35-55,1,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-144.0,-144.0,1,0.0,0.0,0.0,0.0,0.0,0.0
F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,72.15384615384616,94.0,48.0,13.831402398444355,13.0,0.0,-150.0,-150.0,0,991.0,97.87083753784057,249.0,-18.0,267.0,71504.46153846155
F,North Region,Lower Than A Level,0,0-35,1,60,N,Pass,73.18181818181819,80.0,60.0,8.256127201275202,11.0,0.0,-42.0,-42.0,0,700.0,120.46857142857142,243.0,-9.0,252.0,51227.27272727273
M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,-87.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,South East Region,Lower Than A Level,10-20,35-55,0,90,N,Pass,84.33333333333333,95.0,76.0,5.4543560573178524,9.0,0.0,-99.5,-133.0,1,2102.0,73.01712654614653,241.0,-18.0,259.0,177268.66666666666
F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,81.81818181818181,100.0,60.0,14.048616884363968,11.0,0.0,-107.0,-107.0,0,1671.0,107.7935368043088,240.0,-9.0,249.0,136718.18181818182
M,East Anglian Region,A Level or Equivalent,10-20,0-35,1,90,N,Pass,66.2,91.0,37.0,15.363221388386338,15.0,0.0,-74.0,-102.0,0,558.0,101.98387096774194,262.0,-18.0,280.0,36939.6
M,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,90,N,Fail,60.0,60.0,60.0,0.0,1.0,0.0,-74.0,-74.0,0,53.0,24.67924528301887,49.0,-11.0,60.0,3180.0
F,East Anglian Region,Lower Than A Level,60-70%,35-55,2,120,Y,Withdrawn,63.666666666666664,80.0,51.0,13.276545735494105,6.0,0.5,-95.5,-141.0,2,516.0,44.42829457364341,143.0,-16.0,159.0,32852.0
M,North Western Region,Lower Than A Level,20-30%,35-55,2,120,N,Pass,70.125,97.0,42.0,21.470494704527486,8.0,0.0,-130.5,-138.0,1,1300.0,69.74153846153847,241.0,-18.0,259.0,91162.5
M,London Region,Lower Than A Level,40-50%,35-55,2,60,N,Pass,65.75,81.0,57.0,8.214455108360672,12.0,0.0,-67.0,-67.0,0,702.0,86.58689458689459,265.0,-17.0,282.0,46156.5
M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,120,N,Pass,75.25,88.0,60.0,9.245391972613856,12.0,0.0,-15.0,-15.0,0,458.0,103.45414847161572,218.0,-12.0,230.0,34464.5
M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,81.25,95.0,58.0,12.061395969259637,12.0,0.0,-36.0,-36.0,0,552.0,125.9963768115942,229.0,-16.0,245.0,44850.0
M,East Anglian Region,Lower Than A Level,0-10%,0-35,1,120,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-172.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,Ireland,HE Qualification,0,35-55,0,60,N,Fail,58.785714285714285,89.0,32.0,18.452344322307965,14.0,0.0,-19.0,-19.0,0,386.0,91.69689119170984,227.0,-1.0,228.0,22691.285714285714
F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,76.2,100.0,60.0,15.07315494513342,5.0,0.0,-48.0,-48.0,0,274.0,94.56934306569343,214.0,-9.0,223.0,20878.8
M,North Western Region,Lower Than A Level,10-20,0-35,1,120,N,Fail,46.0,70.0,26.0,22.271057451320086,3.0,0.0,-17.0,-17.0,0,134.0,42.8955223880597,112.0,-16.0,128.0,6164.0
F,South East Region,Lower Than A Level,80-90%,35-55,0,120,N,Distinction,93.55555555555556,100.0,83.0,6.894039293315474,9.0,0.0,-235.0,-235.0,0,132.0,76.64393939393939,218.0,-9.0,227.0,12349.333333333334
F,Wales,Lower Than A Level,0-10%,35-55,2,120,N,Fail,37.333333333333336,81.0,0.0,24.174867991867966,12.0,0.0,4.0,4.0,0,116.0,88.30172413793103,226.0,7.0,219.0,4330.666666666667
F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-135.0,-135.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,West Midlands Region,Lower Than A Level,50-60%,35-55,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-46.0,1,59.0,12.966101694915254,32.0,-2.0,34.0,0.0
M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,79.05555555555556,98.0,62.0,9.483559906318513,18.0,0.0,-124.0,-149.0,0,1274.0,91.90266875981162,241.0,-18.0,259.0,100716.77777777778
F,North Western Region,HE Qualification,50-60%,35-55,1,60,N,Fail,74.66666666666667,80.0,70.0,5.0332229568471645,3.0,0.0,-94.0,-94.0,0,196.0,27.806122448979593,111.0,-9.0,120.0,14634.666666666668
M,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Distinction,93.0625,100.0,85.0,5.458555975103063,16.0,0.0,-46.0,-50.0,0,1392.0,107.04885057471265,252.0,-17.0,269.0,129543.0
